anio,km_mes,antiguedad_anios,tipo_servicio,carga_promedio_ton,num_destinos,dias_operacion,costo_mto_nominal_k,costo_mto_2019_k,idx_inpc
2019,6180,0,2,11.6,6,19,5.519,5.519,1.0
2019,9992,2,2,10.7,5,21,6.034,6.034,1.0
2019,11346,7,2,15.1,4,23,7.327,7.327,1.0
2019,9928,14,0,14.3,1,25,7.772,7.772,1.0
2019,9211,4,2,16.0,3,26,6.897,6.897,1.0
2019,8747,2,2,9.5,4,19,5.248,5.248,1.0
2019,5804,0,1,13.4,5,21,5.459,5.459,1.0
2019,7700,14,2,9.8,5,30,7.07,7.07,1.0
2019,8348,7,2,7.8,6,21,5.824,5.824,1.0
2019,12143,1,1,11.8,7,19,6.256,6.256,1.0
2019,10359,2,1,8.3,5,20,5.359,5.359,1.0
2019,5092,13,0,16.7,3,21,7.64,7.64,1.0
2019,10310,13,0,8.6,3,21,7.485,7.485,1.0
2019,8537,10,1,13.5,4,21,6.667,6.667,1.0
2019,7808,15,0,9.6,6,22,7.31,7.31,1.0
2019,11029,3,2,13.1,5,22,6.507,6.507,1.0
2019,12077,4,2,9.9,7,19,6.454,6.454,1.0
2019,11828,13,2,7.0,3,23,6.867,6.867,1.0
2019,7402,15,0,13.9,6,22,8.212,8.212,1.0
2019,8727,17,0,11.1,1,23,7.651,7.651,1.0
2019,10328,6,0,13.1,4,17,7.335,7.335,1.0
2019,11939,9,1,10.3,6,22,7.038,7.038,1.0
2019,8302,6,2,6.7,5,16,5.378,5.378,1.0
2019,9036,0,2,16.3,3,21,6.271,6.271,1.0
2019,6734,15,1,14.9,2,24,7.465,7.465,1.0
2019,6509,3,2,9.7,5,25,5.528,5.528,1.0
2019,11531,17,2,12.3,6,23,7.757,7.757,1.0
2019,12891,1,0,16.2,2,24,7.37,7.37,1.0
2019,9320,0,2,10.2,7,21,5.739,5.739,1.0
2019,12009,14,1,10.8,10,20,7.815,7.815,1.0
2019,10404,4,0,13.0,8,30,7.578,7.578,1.0
2019,7887,10,1,10.2,5,24,6.415,6.415,1.0
2019,10403,9,0,15.4,1,18,7.476,7.476,1.0
2019,13345,1,1,11.3,2,17,5.757,5.757,1.0
2019,9410,2,1,8.9,2,21,5.296,5.296,1.0
2019,13412,11,1,14.4,6,26,8.308,8.308,1.0
2019,2951,4,1,7.4,4,22,4.516,4.516,1.0
2019,11555,4,1,20.1,3,15,7.326,7.326,1.0
2019,9718,5,1,18.3,3,21,7.11,7.11,1.0
2019,8752,8,1,14.1,7,22,7.481,7.481,1.0
2019,9729,1,1,13.7,1,15,5.537,5.537,1.0
2019,4531,11,0,13.5,5,22,7.01,7.01,1.0
2019,8951,2,1,10.0,1,19,5.041,5.041,1.0
2019,10393,11,0,13.2,4,16,8.152,8.152,1.0
2019,13195,16,1,8.3,2,27,7.133,7.133,1.0
2019,8204,9,2,14.0,7,19,6.804,6.804,1.0
2019,7479,13,1,15.5,4,20,7.151,7.151,1.0
2019,8246,16,1,10.5,6,20,6.945,6.945,1.0
2019,11789,17,2,9.6,6,22,7.321,7.321,1.0
2019,10322,16,2,7.2,5,27,7.108,7.108,1.0
2019,8176,13,2,17.8,5,18,7.554,7.554,1.0
2019,10783,8,2,9.9,5,21,6.503,6.503,1.0
2019,9743,7,0,11.2,7,22,7.561,7.561,1.0
2019,11922,1,0,13.2,4,19,6.711,6.711,1.0
2019,7745,12,1,13.1,8,21,7.218,7.218,1.0
2019,8681,6,0,15.0,2,24,6.988,6.988,1.0
2019,8520,8,1,10.5,7,20,6.849,6.849,1.0
2019,5841,10,1,7.4,1,21,5.608,5.608,1.0
2019,10240,13,1,6.7,2,21,6.21,6.21,1.0
2019,10153,3,1,9.7,1,22,6.132,6.132,1.0
2019,9513,12,1,8.2,4,23,6.84,6.84,1.0
2019,8914,1,1,10.8,1,24,5.534,5.534,1.0
2019,5962,4,2,17.2,4,28,7.13,7.13,1.0
2019,8448,10,1,10.5,5,14,6.082,6.082,1.0
2019,8643,5,2,10.5,6,21,6.268,6.268,1.0
2019,7494,17,0,11.9,9,18,7.901,7.901,1.0
2019,9097,9,2,10.4,5,21,6.143,6.143,1.0
2019,10510,3,1,11.7,5,25,6.393,6.393,1.0
2019,14215,8,1,14.2,3,26,7.421,7.421,1.0
2019,9936,5,0,15.5,1,26,7.12,7.12,1.0
2019,10144,1,1,16.0,5,26,6.759,6.759,1.0
2019,9314,16,0,20.2,6,21,9.503,9.503,1.0
2019,4703,4,0,14.3,3,26,6.91,6.91,1.0
2019,9434,5,1,20.9,5,27,7.738,7.738,1.0
2019,9651,11,1,8.9,6,22,6.321,6.321,1.0
2019,15658,9,1,20.4,3,26,8.741,8.741,1.0
2019,9019,5,2,10.5,5,22,6.426,6.426,1.0
2019,10254,7,1,10.9,6,26,6.526,6.526,1.0
2019,9413,1,1,11.5,2,22,5.948,5.948,1.0
2019,6578,11,0,11.1,3,20,6.511,6.511,1.0
2019,12357,12,1,12.3,3,19,7.118,7.118,1.0
2019,11380,6,1,9.7,3,21,5.919,5.919,1.0
2019,11478,9,2,15.3,1,22,7.303,7.303,1.0
2019,7227,12,2,9.8,4,19,6.311,6.311,1.0
2019,13007,16,1,14.6,4,21,8.049,8.049,1.0
2019,5995,13,0,18.1,4,20,8.056,8.056,1.0
2019,10967,1,2,10.6,4,19,5.552,5.552,1.0
2019,14976,10,2,15.2,6,25,8.697,8.697,1.0
2019,7024,0,0,14.2,3,26,6.317,6.317,1.0
2019,8084,3,0,21.0,3,25,8.33,8.33,1.0
2019,9749,10,2,10.0,4,22,6.3,6.3,1.0
2019,8241,7,0,15.2,6,22,7.321,7.321,1.0
2019,5623,10,2,5.5,4,19,5.148,5.148,1.0
2019,9671,3,1,10.0,11,23,6.307,6.307,1.0
2019,6844,16,0,13.4,3,23,7.683,7.683,1.0
2019,10684,6,2,17.6,6,30,7.943,7.943,1.0
2019,7201,7,1,7.1,7,25,5.728,5.728,1.0
2019,13375,2,1,15.1,2,23,6.727,6.727,1.0
2019,7542,1,0,11.7,6,22,6.082,6.082,1.0
2019,8695,14,0,5.9,3,25,7.017,7.017,1.0
2019,11534,4,1,12.7,2,19,6.163,6.163,1.0
2019,6423,0,1,18.8,6,25,6.885,6.885,1.0
2019,10069,3,1,7.5,9,19,5.538,5.538,1.0
2019,12768,14,2,11.6,3,20,7.157,7.157,1.0
2019,5481,2,1,8.1,4,16,4.346,4.346,1.0
2019,9962,10,0,10.1,7,24,7.45,7.45,1.0
2019,10150,16,1,17.7,6,23,8.382,8.382,1.0
2019,11455,12,2,10.9,2,20,6.78,6.78,1.0
2019,6408,10,2,17.6,7,19,7.046,7.046,1.0
2019,6199,1,1,16.4,3,26,6.202,6.202,1.0
2019,10805,8,0,10.5,3,22,7.322,7.322,1.0
2019,10242,1,0,10.0,1,20,5.766,5.766,1.0
2019,10126,8,1,8.4,4,28,6.379,6.379,1.0
2019,10366,8,2,8.3,6,20,6.196,6.196,1.0
2019,7800,7,1,13.4,5,25,6.501,6.501,1.0
2019,10081,16,2,11.9,3,19,7.654,7.654,1.0
2019,10233,0,2,9.5,6,21,5.579,5.579,1.0
2019,7714,10,0,5.8,3,24,5.932,5.932,1.0
2019,14164,7,1,12.4,3,22,7.337,7.337,1.0
2019,10685,9,0,10.1,3,23,7.326,7.326,1.0
2019,6522,6,0,11.2,2,20,5.928,5.928,1.0
2019,11141,2,2,13.2,7,17,6.516,6.516,1.0
2019,7063,2,1,2.0,3,26,4.037,4.037,1.0
2019,11468,17,1,5.9,7,21,6.877,6.877,1.0
2019,12396,4,0,21.2,3,23,8.68,8.68,1.0
2019,7448,11,0,10.0,5,24,7.001,7.001,1.0
2019,11908,11,0,1.9,1,23,6.087,6.087,1.0
2019,10532,5,0,6.2,5,20,6.078,6.078,1.0
2019,11555,1,1,21.9,3,25,7.532,7.532,1.0
2019,14242,11,0,9.2,2,24,8.267,8.267,1.0
2019,8887,4,1,16.6,3,23,6.876,6.876,1.0
2019,7616,11,0,12.5,9,23,7.742,7.742,1.0
2019,7276,16,0,10.1,3,27,7.524,7.524,1.0
2019,7460,16,0,15.1,3,20,7.983,7.983,1.0
2019,9307,9,1,2.5,1,23,5.746,5.746,1.0
2019,10353,16,1,6.2,3,20,6.147,6.147,1.0
2019,10192,14,1,10.0,6,16,7.124,7.124,1.0
2019,11568,11,1,6.6,2,16,6.144,6.144,1.0
2019,9533,15,1,9.7,5,19,6.707,6.707,1.0
2019,13134,7,0,15.4,5,20,8.003,8.003,1.0
2019,8838,16,0,12.5,3,29,8.003,8.003,1.0
2019,16300,4,2,17.3,5,24,7.911,7.911,1.0
2019,11064,15,1,12.8,5,24,7.634,7.634,1.0
2019,7357,5,0,16.0,3,20,7.117,7.117,1.0
2019,6823,7,2,11.7,3,22,5.879,5.879,1.0
2019,10706,17,2,9.6,7,29,7.868,7.868,1.0
2019,8941,11,0,17.9,3,18,7.949,7.949,1.0
2019,11285,14,1,9.2,3,23,7.37,7.37,1.0
2019,10683,8,1,13.4,4,27,7.44,7.44,1.0
2019,9318,12,1,15.1,2,25,7.404,7.404,1.0
2019,7383,14,1,15.4,3,27,7.248,7.248,1.0
2019,5713,9,0,7.3,2,23,6.324,6.324,1.0
2019,8384,15,1,16.2,5,24,8.489,8.489,1.0
2019,11641,6,1,8.1,4,22,6.506,6.506,1.0
2019,10035,16,2,15.2,3,24,7.707,7.707,1.0
2019,6386,6,1,14.1,7,19,6.192,6.192,1.0
2019,9933,13,0,15.3,4,24,8.117,8.117,1.0
2019,10463,14,1,7.2,3,23,6.304,6.304,1.0
2019,7290,6,0,14.4,5,22,6.935,6.935,1.0
2019,9884,8,1,16.3,1,27,7.106,7.106,1.0
2019,9646,15,1,12.8,5,21,7.386,7.386,1.0
2019,6643,7,0,8.7,7,26,6.508,6.508,1.0
2019,10394,17,1,15.7,2,26,7.939,7.94,1.0
2019,10902,17,0,12.5,4,25,8.323,8.323,1.0
2019,12208,6,0,5.3,2,19,5.861,5.861,1.0
2019,12135,2,1,8.4,3,23,6.042,6.042,1.0
2019,6056,17,1,9.9,7,28,7.144,7.144,1.0
2019,7155,9,2,18.0,1,17,6.834,6.834,1.0
2019,10788,6,1,17.3,3,21,7.268,7.268,1.0
2019,10784,16,0,17.3,2,25,8.698,8.698,1.0
2019,10788,13,1,12.9,2,22,6.95,6.95,1.0
2019,19132,2,0,15.7,2,24,8.8,8.8,1.0
2019,10927,11,2,7.4,1,26,6.544,6.544,1.0
2019,12339,12,1,12.0,1,23,6.995,6.995,1.0
2019,11885,1,2,13.8,3,24,6.451,6.451,1.0
2019,11128,2,0,7.7,7,22,6.183,6.183,1.0
2019,8712,4,1,12.8,5,23,6.135,6.135,1.0
2019,11397,10,1,18.7,2,28,7.898,7.898,1.0
2019,7568,7,2,14.2,6,22,6.424,6.424,1.0
2019,8908,11,0,15.7,2,21,7.541,7.541,1.0
2019,8287,6,0,2.2,4,25,5.2,5.2,1.0
2019,9705,14,2,18.2,2,19,7.688,7.688,1.0
2019,15287,16,1,11.3,3,20,7.769,7.769,1.0
2019,4832,3,1,8.9,2,20,4.472,4.472,1.0
2019,11216,12,0,11.3,2,21,7.423,7.423,1.0
2019,5468,17,2,6.1,7,21,6.044,6.044,1.0
2019,8320,0,0,16.2,4,24,7.454,7.454,1.0
2019,12222,15,1,10.7,2,21,7.461,7.461,1.0
2019,9661,12,2,9.0,3,24,6.509,6.509,1.0
2019,6806,9,0,11.3,5,25,7.382,7.382,1.0
2019,7712,11,1,16.5,3,20,7.052,7.052,1.0
2019,11199,1,0,12.5,2,25,6.616,6.616,1.0
2019,7674,2,0,6.4,4,25,5.687,5.687,1.0
2019,10041,9,2,13.9,1,17,6.432,6.432,1.0
2019,9614,1,2,8.3,2,23,5.27,5.27,1.0
2019,7871,12,1,3.4,5,20,5.329,5.329,1.0
2019,14860,12,1,18.0,2,26,8.886,8.886,1.0
2019,11085,17,0,13.8,3,20,8.366,8.366,1.0
2019,4437,2,0,11.7,3,18,6.293,6.293,1.0
2019,9966,6,0,10.6,10,22,7.579,7.579,1.0
2019,7846,13,0,17.6,3,19,7.951,7.951,1.0
2019,11631,16,0,24.0,4,25,10.198,10.198,1.0
2019,7519,11,1,13.8,8,20,7.238,7.238,1.0
2019,9213,15,0,7.9,5,22,7.057,7.057,1.0
2019,10762,11,0,11.4,3,27,7.448,7.448,1.0
2019,11664,14,1,13.7,4,25,7.76,7.76,1.0
2019,6499,9,2,2.6,5,23,5.184,5.184,1.0
2019,8664,6,0,13.3,5,22,7.075,7.075,1.0
2019,8313,4,2,13.7,3,23,6.308,6.308,1.0
2019,7867,0,2,17.3,9,24,6.768,6.768,1.0
2019,13914,16,0,16.9,3,19,9.403,9.403,1.0
2019,10512,2,2,12.4,4,25,6.357,6.357,1.0
2019,6348,12,1,18.1,5,19,7.204,7.204,1.0
2019,11795,13,1,20.1,6,24,8.6,8.6,1.0
2019,14805,17,1,12.1,5,19,7.887,7.887,1.0
2019,12081,3,1,13.7,6,28,7.046,7.046,1.0
2019,5702,17,1,4.9,4,24,5.957,5.957,1.0
2019,8289,4,1,6.2,6,17,4.876,4.876,1.0
2019,12667,15,1,8.6,1,22,6.722,6.722,1.0
2019,7731,0,1,10.2,6,20,5.289,5.289,1.0
2019,10610,13,1,7.6,4,20,6.709,6.709,1.0
2019,11437,14,1,11.9,11,22,7.813,7.813,1.0
2019,7183,8,0,10.3,8,19,6.537,6.537,1.0
2019,9351,14,0,16.3,4,24,8.526,8.526,1.0
2019,1500,16,2,10.1,1,24,5.583,5.583,1.0
2019,6939,3,0,2.9,2,23,4.661,4.661,1.0
2019,8869,11,0,12.5,4,22,7.852,7.852,1.0
2019,6381,4,0,11.9,5,24,6.457,6.457,1.0
2019,13581,4,0,8.6,3,24,6.591,6.591,1.0
2019,5925,10,2,12.4,2,23,6.109,6.109,1.0
2019,8400,5,1,7.7,4,18,5.11,5.11,1.0
2019,9827,6,2,13.3,3,20,6.376,6.376,1.0
2019,13103,13,1,22.5,2,21,8.957,8.957,1.0
2019,5910,10,1,4.8,4,18,4.807,4.807,1.0
2019,12408,12,0,9.9,3,23,7.773,7.773,1.0
2019,9526,1,1,9.3,5,26,5.922,5.922,1.0
2019,7046,6,0,10.3,5,26,6.842,6.842,1.0
2019,10655,3,2,16.1,3,24,6.907,6.907,1.0
2019,9998,7,2,14.2,6,24,7.355,7.355,1.0
2019,7999,12,0,15.4,1,29,7.997,7.997,1.0
2019,9675,13,2,12.1,6,25,7.127,7.127,1.0
2019,8537,9,2,6.7,4,25,5.651,5.651,1.0
2019,9784,10,1,7.5,1,18,5.505,5.505,1.0
2019,11155,1,0,15.0,5,26,7.787,7.787,1.0
2019,13465,8,1,12.7,3,23,7.293,7.293,1.0
2019,6405,16,1,17.0,1,22,7.234,7.234,1.0
2019,14833,2,0,13.2,3,21,7.653,7.653,1.0
2019,4620,5,0,7.3,3,20,5.17,5.17,1.0
2019,9121,4,2,9.9,1,26,5.789,5.789,1.0
2019,10971,4,0,14.3,1,22,6.913,6.913,1.0
2019,10202,14,1,14.8,7,20,7.82,7.82,1.0
2019,7943,16,2,15.4,1,20,7.16,7.16,1.0
2019,8980,8,2,7.8,3,23,5.741,5.741,1.0
2019,8267,2,0,7.2,5,21,5.949,5.949,1.0
2019,8027,16,2,11.2,1,20,6.866,6.866,1.0
2019,11624,9,0,17.8,1,18,7.906,7.906,1.0
2019,10393,2,0,9.2,4,25,6.352,6.352,1.0
2019,7768,17,1,13.8,8,22,7.759,7.759,1.0
2019,11749,17,1,13.8,7,19,8.264,8.264,1.0
2019,10268,16,1,15.0,4,21,7.821,7.821,1.0
2019,11532,2,1,18.7,3,24,7.068,7.068,1.0
2019,11074,2,0,18.2,5,22,7.858,7.858,1.0
2019,7428,5,0,9.6,5,23,6.542,6.542,1.0
2019,8100,12,1,3.6,2,22,5.134,5.134,1.0
2019,11368,14,2,9.3,3,18,6.928,6.928,1.0
2019,11026,8,1,12.3,6,25,6.841,6.841,1.0
2019,9448,3,0,10.6,7,17,6.565,6.565,1.0
2019,9793,13,1,19.9,4,23,8.685,8.685,1.0
2019,12694,4,0,12.1,2,24,7.427,7.427,1.0
2019,8021,1,0,14.6,7,21,6.973,6.973,1.0
2019,10868,10,2,12.9,3,23,6.872,6.872,1.0
2019,8995,8,0,10.6,4,21,7.087,7.087,1.0
2019,8956,2,0,4.3,6,23,5.367,5.367,1.0
2019,12247,8,1,11.7,3,25,6.855,6.855,1.0
2019,11564,2,1,24.0,1,20,7.683,7.683,1.0
2019,11534,1,1,7.0,3,24,5.45,5.45,1.0
2019,12764,11,0,4.7,4,27,7.085,7.085,1.0
2019,9553,9,0,19.7,3,23,8.377,8.377,1.0
2019,11205,8,0,15.0,3,20,7.718,7.718,1.0
2019,8724,14,0,12.7,4,29,8.182,8.182,1.0
2019,10310,7,1,17.5,2,22,7.406,7.406,1.0
2019,9175,4,2,8.7,2,23,5.405,5.405,1.0
2019,9742,10,1,11.6,3,23,6.663,6.663,1.0
2019,10988,1,2,15.8,3,23,6.53,6.53,1.0
2019,7454,14,1,20.4,5,21,7.89,7.89,1.0
2019,14731,5,1,7.3,2,23,6.32,6.32,1.0
2019,6985,7,1,17.1,4,25,6.839,6.839,1.0
2019,6465,4,1,13.5,3,21,5.816,5.816,1.0
2019,12395,15,1,12.7,4,21,8.087,8.087,1.0
2019,11479,17,0,12.0,5,21,8.125,8.125,1.0
2019,11060,5,1,6.5,6,19,6.037,6.037,1.0
2019,11071,4,2,15.9,1,20,6.625,6.625,1.0
2019,9469,15,0,8.9,3,20,7.178,7.178,1.0
2019,7257,12,0,7.7,1,22,6.249,6.249,1.0
2019,9690,4,1,15.5,1,25,6.802,6.802,1.0
2019,7807,12,2,15.2,2,26,7.167,7.167,1.0
2019,11938,16,1,12.3,3,22,7.757,7.757,1.0
2019,9132,17,1,16.3,5,23,8.259,8.259,1.0
2019,7436,7,0,17.7,4,23,7.937,7.937,1.0
2019,8697,12,1,17.2,1,16,6.861,6.861,1.0
2019,10532,2,0,9.9,5,19,6.204,6.204,1.0
2019,8091,7,2,16.1,2,24,6.939,6.939,1.0
2019,7444,1,1,12.8,2,25,5.932,5.932,1.0
2019,10109,7,0,18.9,7,25,8.557,8.557,1.0
2019,10112,12,0,11.5,2,21,7.537,7.537,1.0
2019,8233,12,0,10.6,4,16,6.954,6.954,1.0
2019,8322,0,1,9.5,8,19,5.674,5.674,1.0
2019,10080,5,0,12.8,2,19,7.246,7.246,1.0
2019,5880,15,1,13.9,3,24,7.005,7.005,1.0
2019,5981,7,1,13.9,1,21,5.915,5.915,1.0
2019,7704,0,0,13.4,1,27,6.44,6.44,1.0
2019,8966,15,0,14.7,3,26,8.339,8.339,1.0
2019,10277,8,0,11.1,7,27,7.663,7.663,1.0
2019,13188,12,2,8.5,6,19,6.831,6.831,1.0
2019,11644,10,0,8.2,1,23,6.775,6.775,1.0
2019,9100,12,1,15.9,6,21,8.473,8.473,1.0
2019,9452,9,2,13.9,8,23,7.165,7.165,1.0
2019,6994,3,1,4.6,3,20,5.112,5.112,1.0
2019,9454,5,2,16.4,2,26,7.391,7.391,1.0
2019,8778,6,1,19.5,5,20,7.143,7.143,1.0
2019,10307,4,2,9.1,5,16,6.109,6.109,1.0
2019,7432,10,0,13.3,3,28,7.458,7.458,1.0
2019,10798,12,0,10.1,1,23,7.642,7.642,1.0
2019,13332,9,1,14.5,2,19,7.072,7.072,1.0
2019,9228,9,2,7.3,5,22,6.0,6.0,1.0
2019,10504,10,2,11.7,6,20,6.799,6.799,1.0
2019,11225,6,0,15.9,4,22,7.852,7.852,1.0
2019,8497,17,0,16.9,2,24,8.473,8.473,1.0
2019,10060,3,2,13.7,4,24,6.324,6.324,1.0
2019,9531,1,0,10.6,8,23,6.694,6.694,1.0
2019,9744,13,2,5.6,3,22,6.224,6.224,1.0
2019,7567,12,2,9.0,5,25,6.233,6.233,1.0
2019,9561,11,1,10.1,4,16,6.389,6.389,1.0
2019,10745,6,1,9.2,7,20,6.158,6.158,1.0
2019,13128,1,1,12.2,2,19,6.337,6.337,1.0
2019,11898,12,0,10.6,5,25,8.505,8.505,1.0
2019,14883,13,2,12.7,6,20,7.822,7.822,1.0
2019,7582,16,1,16.8,1,18,7.328,7.328,1.0
2019,11681,8,2,10.4,4,24,6.645,6.645,1.0
2019,9958,16,0,6.5,3,19,6.877,6.877,1.0
2019,14975,7,2,9.2,6,21,7.111,7.111,1.0
2019,7479,1,1,14.3,9,29,6.464,6.464,1.0
2019,7401,12,0,14.7,1,24,7.247,7.247,1.0
2019,8002,2,0,13.6,3,21,6.658,6.658,1.0
2019,4190,15,1,17.2,3,22,7.006,7.006,1.0
2019,8186,5,1,11.3,3,25,6.281,6.281,1.0
2019,7602,6,2,20.2,2,24,7.185,7.185,1.0
2019,9876,9,0,15.3,10,22,8.172,8.172,1.0
2019,10354,8,0,1.9,5,22,5.801,5.801,1.0
2019,14190,1,1,19.2,3,18,7.3,7.3,1.0
2019,11876,14,1,8.9,7,17,6.918,6.918,1.0
2019,8058,4,1,7.9,7,21,5.457,5.457,1.0
2019,7254,3,2,14.1,9,20,6.171,6.171,1.0
2019,10730,3,2,5.0,7,24,5.596,5.596,1.0
2019,6199,17,2,9.2,8,23,6.634,6.634,1.0
2019,14079,3,2,18.2,4,20,8.019,8.019,1.0
2019,12449,16,1,14.2,2,22,7.729,7.729,1.0
2019,8327,11,1,15.2,4,21,7.038,7.038,1.0
2019,5217,16,1,9.4,3,28,6.342,6.342,1.0
2019,12885,9,2,5.8,4,23,6.346,6.346,1.0
2019,9214,0,0,14.8,3,17,6.604,6.604,1.0
2019,12595,17,1,15.7,4,27,8.392,8.392,1.0
2019,5514,17,0,15.5,6,20,7.911,7.911,1.0
2019,8002,13,1,12.8,1,19,6.434,6.434,1.0
2019,9513,14,2,8.1,3,28,6.814,6.814,1.0
2019,9617,11,2,21.8,4,23,8.46,8.46,1.0
2019,8375,3,0,13.9,5,24,7.143,7.143,1.0
2019,11057,2,2,11.3,5,24,6.37,6.37,1.0
2019,6831,11,1,11.3,7,21,6.316,6.316,1.0
2019,9144,6,0,12.6,2,20,6.612,6.612,1.0
2019,9801,10,0,16.3,2,21,7.846,7.846,1.0
2019,10786,0,0,12.8,5,27,6.867,6.867,1.0
2019,11279,5,0,15.4,2,23,7.292,7.292,1.0
2019,6688,14,2,12.6,3,26,7.03,7.03,1.0
2019,5665,14,1,11.6,8,22,6.592,6.592,1.0
2019,12694,10,2,14.6,2,20,7.096,7.096,1.0
2019,10331,1,0,14.4,3,18,6.539,6.539,1.0
2019,7629,13,0,11.3,9,24,7.629,7.629,1.0
2019,13378,1,1,9.0,2,27,5.941,5.941,1.0
2019,9789,3,0,13.4,4,19,6.667,6.667,1.0
2019,12448,16,1,12.3,3,24,7.658,7.658,1.0
2019,9669,2,2,9.8,6,18,5.692,5.692,1.0
2019,14652,12,1,8.6,3,20,6.908,6.908,1.0
2019,13888,8,1,13.6,7,23,7.695,7.695,1.0
2019,8878,6,0,14.2,3,17,6.83,6.83,1.0
2019,11929,14,0,10.6,3,22,7.972,7.972,1.0
2019,11113,10,0,9.7,5,19,7.31,7.31,1.0
2019,12922,1,1,8.7,2,24,5.533,5.533,1.0
2019,7088,14,0,13.5,2,22,7.227,7.227,1.0
2019,11215,13,1,8.8,3,25,6.756,6.756,1.0
2019,12146,10,1,21.0,7,21,8.57,8.57,1.0
2019,5103,2,1,10.4,2,18,4.547,4.547,1.0
2019,6542,16,0,2.3,6,18,6.088,6.088,1.0
2019,4402,11,0,11.9,2,16,6.282,6.282,1.0
2019,8826,14,2,11.7,2,24,6.89,6.89,1.0
2019,11294,15,1,16.4,3,30,8.484,8.484,1.0
2019,13256,4,1,13.2,6,23,6.995,6.995,1.0
2019,9685,5,0,8.7,6,27,6.611,6.611,1.0
2019,13572,4,2,10.9,5,25,6.974,6.974,1.0
2019,6050,2,1,13.3,4,20,5.442,5.442,1.0
2019,5242,0,0,3.3,5,26,4.481,4.481,1.0
2019,9361,5,2,17.4,8,21,7.615,7.615,1.0
2019,10460,14,0,8.7,2,21,7.639,7.639,1.0
2019,9418,1,1,17.7,2,21,6.322,6.322,1.0
2019,4331,2,1,13.6,2,22,5.643,5.643,1.0
2019,9277,16,0,14.5,2,24,8.026,8.026,1.0
2019,6239,11,2,16.6,5,20,7.042,7.042,1.0
2019,11174,17,1,14.3,2,25,8.063,8.063,1.0
2019,10416,14,1,14.7,3,25,7.751,7.751,1.0
2019,7150,11,0,11.3,4,23,7.226,7.226,1.0
2019,8215,15,0,13.5,5,28,8.159,8.159,1.0
2019,6852,7,0,9.7,3,26,6.469,6.469,1.0
2019,9343,13,2,10.6,6,25,7.069,7.069,1.0
2019,11888,16,0,19.9,7,22,9.576,9.576,1.0
2019,7036,7,1,8.8,1,23,5.743,5.743,1.0
2019,10760,14,1,12.6,2,24,7.229,7.229,1.0
2019,8174,13,0,12.5,4,22,7.641,7.641,1.0
2019,7518,17,1,10.8,5,21,6.861,6.861,1.0
2019,9232,6,0,14.1,6,15,6.908,6.908,1.0
2019,6912,2,2,14.4,3,24,6.126,6.126,1.0
2019,8116,11,1,8.3,3,25,6.059,6.059,1.0
2019,6505,2,0,12.4,4,19,5.844,5.844,1.0
2019,14412,13,0,7.7,6,24,7.82,7.82,1.0
