concept,basis,amount_type,level_1,level_2,level_3,accident_period,development_period,amount
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-01,0,1031.8442901562496
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-02,0,1074.9683720120706
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-03,0,1127.758413428051
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-04,0,1165.1940213853102
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-05,0,1208.879695079594
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-06,0,1247.5985356968658
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-07,0,1295.2361221171868
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-08,0,1331.0507338619152
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-09,0,1273.1628630122107
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-10,0,1211.3560157288
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-11,0,1146.0134394715415
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-12,0,1087.0247659872305
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-01,0,1057.6403974101559
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-02,0,1103.9925180563964
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-03,0,1159.8590435051938
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-04,0,1198.9846480054841
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-05,0,1243.2893695608166
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-06,0,1281.283696160681
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-07,0,1327.6170251701164
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-08,0,1361.664900740739
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-09,0,1300.5815690574216
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-10,0,1236.7944920591046
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-11,0,1170.6938684516867
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-12,0,1112.0263356049368
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-01,0,1084.0814073454096
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-02,0,1133.800316043919
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-03,0,1192.8733891787622
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-04,0,1233.755202797643
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-05,0,1278.6784845130164
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-06,0,1315.8783559570193
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-07,0,1360.8074507993692
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-08,0,1392.983193457776
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-09,0,1328.5907615698666
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-10,0,1262.7671763923456
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-11,0,1195.9058126424432
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-12,0,1137.6029413238502
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-01,0,1111.1834425290447
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-02,0,1164.4129245771048
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-03,0,1226.8274585423403
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-04,0,1269.5341036787745
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-05,0,1315.0749188292855
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-06,0,1351.4070715678586
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-07,0,1394.8276370693534
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-08,0,1425.0218069073046
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-09,0,1357.2031572061014
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-10,0,1289.2852870965849
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-11,0,1221.6607187013765
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-12,0,1163.7678089742988
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-01,0,1138.9630285922706
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-02,0,1195.8520735406867
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-03,0,1261.7479999865309
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-04,0,1306.3505926854589
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-05,0,1352.5073449503616
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-06,0,1387.8950625001905
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-07,0,1429.698327996087
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-08,0,1457.7973084661726
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-09,0,1386.4317464873059
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-10,0,1316.360278125613
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-11,0,1247.9702798001067
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-12,0,1190.5344685807074
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-01,1,912.0
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-02,1,940.9
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-03,1,980.1
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-04,1,1010.0
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-05,1,1050.6
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-06,1,1092.0
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-07,1,1144.8
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-08,1,1188.0
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-09,1,1144.5
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-10,1,1091.8
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-11,1,1030.2
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-12,1,970.2
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-01,1,934.8
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-02,1,966.3042999999999
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-03,1,1007.9976659929966
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-04,1,1039.29
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-05,1,1080.5043851568637
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-06,1,1121.484
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-07,1,1173.4199999999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-08,1,1215.3239999999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-09,1,1169.1478357014744
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-10,1,1114.7278
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-11,1,1052.3862825160847
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-12,1,992.5146
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-01,1,958.1699999999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-02,1,992.3945160999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-03,1,1036.6894139856431
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-04,1,1069.42941
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-05,1,1111.2599717715707
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-06,1,1151.7640679999997
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-07,1,1202.7554999999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-08,1,1243.2764519999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-09,1,1194.3264846880227
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-10,1,1138.1370837999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-11,1,1075.0503665579738
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-12,1,1015.3424357999999
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-01,1,982.1242499999997
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-02,1,1019.1891680346997
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-03,1,1066.1978468086681
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-04,1,1100.4428628899998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-05,1,1142.890988528912
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-06,1,1182.8616978359996
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-07,1,1232.8243874999996
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-08,1,1271.8718103959998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-09,1,1220.0473785006134
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-10,1,1162.0379625597998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-11,1,1098.2025420107748
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-12,1,1038.6953118233998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-01,1,1006.6773562499997
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-02,1,1046.7072755716365
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-03,1,1096.5462106620714
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-04,1,1132.3557059138097
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-05,1,1175.4223537614243
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-06,1,1214.7989636775715
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-07,1,1263.6449971874995
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-08,1,1301.1248620351078
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-09,1,1246.3221948687199
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-10,1,1186.4407597735556
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-11,1,1121.853320361516
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-12,1,1062.5853039953379
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-01,1,1031.8442901562496
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-02,1,1074.9683720120706
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-03,1,1127.758413428051
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-04,1,1165.1940213853102
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-05,1,1208.879695079594
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-06,1,1247.5985356968658
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-07,1,1295.2361221171868
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-08,1,1331.0507338619152
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-09,1,1273.1628630122107
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-10,1,1211.3560157288
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-11,1,1146.0134394715415
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-12,1,1087.0247659872305
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-01,1,1057.6403974101559
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-02,1,1103.9925180563964
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-03,1,1159.8590435051938
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-04,1,1198.9846480054841
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-05,1,1243.2893695608166
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-06,1,1281.283696160681
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-07,1,1327.6170251701164
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-08,1,1361.664900740739
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-09,1,1300.5815690574216
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-10,1,1236.7944920591046
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-11,1,1170.6938684516867
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2022-12,1,1112.0263356049368
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-01,1,1084.0814073454096
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-02,1,1133.800316043919
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-03,1,1192.8733891787622
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-04,1,1233.755202797643
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-05,1,1278.6784845130164
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-06,1,1315.8783559570193
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-07,1,1360.8074507993692
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-08,1,1392.983193457776
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-09,1,1328.5907615698666
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-10,1,1262.7671763923456
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-11,1,1195.9058126424432
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2023-12,1,1137.6029413238502
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-01,1,1111.1834425290447
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-02,1,1164.4129245771048
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-03,1,1226.8274585423403
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-04,1,1269.5341036787745
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-05,1,1315.0749188292855
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-06,1,1351.4070715678586
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-07,1,1394.8276370693534
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-08,1,1425.0218069073046
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-09,1,1357.2031572061014
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-10,1,1289.2852870965849
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-11,1,1221.6607187013765
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2024-12,1,1163.7678089742988
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-01,1,1138.9630285922706
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-02,1,1195.8520735406867
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-03,1,1261.7479999865309
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-04,1,1306.3505926854589
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-05,1,1352.5073449503616
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-06,1,1387.8950625001905
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-07,1,1429.698327996087
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-08,1,1457.7973084661726
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-09,1,1386.4317464873059
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-10,1,1316.360278125613
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2025-11,1,1247.9702798001067
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-01,2,912.0
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-02,2,940.9
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-03,2,980.1
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-04,2,1010.0
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-05,2,1050.6
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-06,2,1092.0
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-07,2,1144.8
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-08,2,1188.0
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-09,2,1144.5
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-10,2,1091.8
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-11,2,1030.2
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2016-12,2,970.2
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-01,2,934.8
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-02,2,966.3042999999999
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-03,2,1007.9976659929966
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-04,2,1039.29
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-05,2,1080.5043851568637
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-06,2,1121.484
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-07,2,1173.4199999999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-08,2,1215.3239999999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-09,2,1169.1478357014744
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-10,2,1114.7278
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-11,2,1052.3862825160847
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2017-12,2,992.5146
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-01,2,958.1699999999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-02,2,992.3945160999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-03,2,1036.6894139856431
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-04,2,1069.42941
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-05,2,1111.2599717715707
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-06,2,1151.7640679999997
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-07,2,1202.7554999999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-08,2,1243.2764519999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-09,2,1194.3264846880227
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-10,2,1138.1370837999998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-11,2,1075.0503665579738
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2018-12,2,1015.3424357999999
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-01,2,982.1242499999997
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-02,2,1019.1891680346997
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-03,2,1066.1978468086681
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-04,2,1100.4428628899998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-05,2,1142.890988528912
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-06,2,1182.8616978359996
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-07,2,1232.8243874999996
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-08,2,1271.8718103959998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-09,2,1220.0473785006134
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-10,2,1162.0379625597998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-11,2,1098.2025420107748
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2019-12,2,1038.6953118233998
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-01,2,1006.6773562499997
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-02,2,1046.7072755716365
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-03,2,1096.5462106620714
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-04,2,1132.3557059138097
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-05,2,1175.4223537614243
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-06,2,1214.7989636775715
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-07,2,1263.6449971874995
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-08,2,1301.1248620351078
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-09,2,1246.3221948687199
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-10,2,1186.4407597735556
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-11,2,1121.853320361516
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2020-12,2,1062.5853039953379
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-01,2,1031.8442901562496
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-02,2,1074.9683720120706
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-03,2,1127.758413428051
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-04,2,1165.1940213853102
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-05,2,1208.879695079594
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-06,2,1247.5985356968658
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-07,2,1295.2361221171868
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-08,2,1331.0507338619152
Exposure,month,cumulative,Auto,Physical Damage,Private Passenger,2021-09,2,1273.1628630122107
